"Identifier","n","Median","Boot.median","Conf.level","Percentile.lower","Percentile.upper","Plot_Median","mildew"
"1101_001M",12,0,0,0.95,0,0,0,"HPM 200"
"1108_002M",6,0,0,0.95,0,0,0,"HPM 200"
"1110_002M",12,0,0,0.95,0,0,0,"HPM 200"
"1125_004M",12,0,0,0.95,0,0,0,"HPM 200"
"21184M",12,0,0,0.95,0,0,0,"HPM 200"
"21265M",12,0,0,0.95,0,0,0,"HPM 200"
"21318M",12,0,0,0.95,0,0,0,"HPM 200"
"21321M",12,0,0,0.95,0,0,0,"HPM 200"
"21322M",10,0,NA,0.95,0,0,0,"HPM 200"
"21329M",12,0,0,0.95,0,0,0,"HPM 200"
"31051M",12,0,0.066,0.95,0,0.5,0.066,"HPM 200"
"31058M",12,0,0,0.95,0,0,0,"HPM 200"
"31061M",12,0,0,0.95,0,0,0,"HPM 200"
"Nugget",18,0,0,0.95,0,0,0,"HPM 200"
"Symphony",18,2,3.2,0.95,1.5,8.5,3.2,"HPM 200"
"W1108_333",12,0,0.002,0.95,0,0,0.002,"HPM 200"
"W1108_408",12,0,0,0.95,0,0,0,"HPM 200"
"Zenith",24,0.38,0.38,0.95,0.25,0.75,0.38,"HPM 200"
