Year,State,Variety,Release,Acreage,Yield
1987,Washington,Calypso,Proprietary,NA,NA
1987,Washington,Cascade,Public,1650,1920
1987,Washington,Cashmere,Public,NA,NA
1987,Washington,Centennial,Public,NA,NA
1987,Washington,Chelan,Proprietary,NA,NA
1987,Washington,Chinook,Public,800,1690
1987,Washington,Citra,Proprietary,NA,NA
1987,Washington,Cluster,Public,9900,1960
1987,Washington,Columbus/Tomahawk,Proprietary,NA,NA
1987,Washington,Comet,Public,NA,NA
1987,Washington,Crystal,Public,NA,NA
1987,Washington,Ekuanot,Proprietary,NA,NA
1987,Washington,ElDorado,Proprietary,NA,NA
1987,Washington,Eroica,Public,730,2020
1987,Washington,Eureka,Proprietary,NA,NA
1987,Washington,Experimental,Unknown,NA,NA
1987,Washington,Fuggle,Public,NA,NA
1987,Washington,Galena,Public,4050,1870
1987,Washington,Glacier,Public,NA,NA
1987,Washington,Golding,Public,NA,NA
1987,Washington,Hallertauer,Public,NA,NA
1987,Washington,Horizon,Public,NA,NA
1987,Washington,Idaho7,Proprietary,NA,NA
1987,Washington,Jarrylo,Proprietary,NA,NA
1987,Washington,Liberty,Public,NA,NA
1987,Washington,Loral,Proprietary,NA,NA
1987,Washington,Magnum,Public,NA,NA
1987,Washington,Millenium,Proprietary,NA,NA
1987,Washington,Mosaic,Proprietary,NA,NA
1987,Washington,MountHood,Public,NA,NA
1987,Washington,MountRainier,Public,NA,NA
1987,Washington,NorthernBrewer,Public,NA,NA
1987,Washington,Nugget,Public,1400,1870
1987,Washington,Olympic,Public,230,2180
1987,Washington,OtherVarieties,Unknown,490,1150
1987,Washington,Pahto,Proprietary,NA,NA
1987,Washington,Palisade,Proprietary,NA,NA
1987,Washington,Pekko,Proprietary,NA,NA
1987,Washington,Perle,Public,200,1130
1987,Washington,Saaz,Public,NA,NA
1987,Washington,Sabro,Proprietary,NA,NA
1987,Washington,Santiam,Public,NA,NA
1987,Washington,Simcoe,Proprietary,NA,NA
1987,Washington,SorachiAce,Public,NA,NA
1987,Washington,Sterling,Public,NA,NA
1987,Washington,Strata,Proprietary,NA,NA
1987,Washington,Summit,Proprietary,NA,NA
1987,Washington,SuperGalena,Proprietary,NA,NA
1987,Washington,Tahoma,Public,NA,NA
1987,Washington,Tettnanger,Public,650,830
1987,Washington,Tillicum,Proprietary,NA,NA
1987,Washington,Triumph,Public,NA,NA
1987,Washington,Vanguard,Public,NA,NA
1987,Washington,Warrior,Proprietary,NA,NA
1987,Washington,Willamette,Public,NA,NA
1987,Washington,Zeus,Proprietary,NA,NA
1988,Idaho,Ahtanum,Proprietary,NA,NA
1988,Idaho,Amarillo,Proprietary,NA,NA
1988,Idaho,Apollo,Proprietary,NA,NA
1988,Idaho,Aquila,Public,NA,NA
1988,Idaho,Azacca,Proprietary,NA,NA
1988,Idaho,Banner,Public,NA,NA
1988,Idaho,Bravo,Proprietary,NA,NA
1988,Idaho,Calypso,Proprietary,NA,NA
1988,Idaho,Cascade,Public,NA,NA
1988,Idaho,Cashmere,Public,NA,NA
1988,Idaho,Centennial,Public,NA,NA
1988,Idaho,Chelan,Proprietary,NA,NA
1988,Idaho,Chinook,Public,220,1540
1988,Idaho,Citra,Proprietary,NA,NA
1988,Idaho,Cluster,Public,490,1830
1988,Idaho,Columbus/Tomahawk,Proprietary,NA,NA
1988,Idaho,Comet,Public,NA,NA
1988,Idaho,Crystal,Public,NA,NA
1988,Idaho,Ekuanot,Proprietary,NA,NA
1988,Idaho,ElDorado,Proprietary,NA,NA
1988,Idaho,Eroica,Public,430,1610
1988,Idaho,Eureka,Proprietary,NA,NA
1988,Idaho,Experimental,Unknown,NA,NA
1988,Idaho,Fuggle,Public,NA,NA
1988,Idaho,Galena,Public,520,1830
1988,Idaho,Glacier,Public,NA,NA
1988,Idaho,Golding,Public,NA,NA
1988,Idaho,Hallertauer,Public,NA,NA
1988,Idaho,Horizon,Public,NA,NA
1988,Idaho,Idaho7,Proprietary,NA,NA
1988,Idaho,Jarrylo,Proprietary,NA,NA
1988,Idaho,Liberty,Public,NA,NA
1988,Idaho,Loral,Proprietary,NA,NA
1988,Idaho,Magnum,Public,NA,NA
1988,Idaho,Millenium,Proprietary,NA,NA
1988,Idaho,Mosaic,Proprietary,NA,NA
1988,Idaho,MountHood,Public,NA,NA
1988,Idaho,MountRainier,Public,NA,NA
1988,Idaho,NorthernBrewer,Public,NA,NA
1988,Idaho,Nugget,Public,NA,NA
1988,Idaho,Olympic,Public,NA,NA
1988,Idaho,OtherVarieties,Unknown,1010,970
1988,Idaho,Pahto,Proprietary,NA,NA
1988,Idaho,Palisade,Proprietary,NA,NA
1988,Idaho,Pekko,Proprietary,NA,NA
1988,Idaho,Perle,Public,NA,NA
1988,Idaho,Saaz,Public,NA,NA
1988,Idaho,Sabro,Proprietary,NA,NA
1988,Idaho,Santiam,Public,NA,NA
1988,Idaho,Simcoe,Proprietary,NA,NA
1988,Idaho,SorachiAce,Public,NA,NA
1988,Idaho,Sterling,Public,NA,NA
1988,Idaho,Strata,Proprietary,NA,NA
1988,Idaho,Summit,Proprietary,NA,NA
1988,Idaho,SuperGalena,Proprietary,NA,NA
1988,Idaho,Tahoma,Public,NA,NA
1988,Idaho,Tettnanger,Public,NA,NA
1988,Idaho,Tillicum,Proprietary,NA,NA
1988,Idaho,Triumph,Public,NA,NA
1988,Idaho,Vanguard,Public,NA,NA
1988,Idaho,Warrior,Proprietary,NA,NA
1988,Idaho,Willamette,Public,130,480
1988,Idaho,Zeus,Proprietary,NA,NA
1988,Oregon,Ahtanum,Proprietary,NA,NA
1988,Oregon,Amarillo,Proprietary,NA,NA
1988,Oregon,Apollo,Proprietary,NA,NA
1988,Oregon,Aquila,Public,NA,NA
1988,Oregon,Azacca,Proprietary,NA,NA
1988,Oregon,Banner,Public,NA,NA
1988,Oregon,Bravo,Proprietary,NA,NA
1988,Oregon,Calypso,Proprietary,NA,NA
1988,Oregon,Cascade,Public,NA,NA
1988,Oregon,Cashmere,Public,NA,NA
1988,Oregon,Centennial,Public,NA,NA
1988,Oregon,Chelan,Proprietary,NA,NA
1988,Oregon,Chinook,Public,NA,NA
1988,Oregon,Citra,Proprietary,NA,NA
1988,Oregon,Cluster,Public,NA,NA
1988,Oregon,Columbus/Tomahawk,Proprietary,NA,NA
1988,Oregon,Comet,Public,NA,NA
1988,Oregon,Crystal,Public,NA,NA
1988,Oregon,Ekuanot,Proprietary,NA,NA
1988,Oregon,ElDorado,Proprietary,NA,NA
1988,Oregon,Eroica,Public,NA,NA
1988,Oregon,Eureka,Proprietary,NA,NA
1988,Oregon,Experimental,Unknown,NA,NA
1988,Oregon,Fuggle,Public,850,1090
1988,Oregon,Galena,Public,150,1880
1988,Oregon,Glacier,Public,NA,NA
1988,Oregon,Golding,Public,NA,NA
1988,Oregon,Hallertauer,Public,NA,NA
1988,Oregon,Horizon,Public,NA,NA
1988,Oregon,Idaho7,Proprietary,NA,NA
1988,Oregon,Jarrylo,Proprietary,NA,NA
1988,Oregon,Liberty,Public,NA,NA
1988,Oregon,Loral,Proprietary,NA,NA
1988,Oregon,Magnum,Public,NA,NA
1988,Oregon,Millenium,Proprietary,NA,NA
1988,Oregon,Mosaic,Proprietary,NA,NA
1988,Oregon,MountHood,Public,NA,NA
1988,Oregon,MountRainier,Public,NA,NA
1988,Oregon,NorthernBrewer,Public,NA,NA
1988,Oregon,Nugget,Public,1470,2040
1988,Oregon,Olympic,Public,NA,NA
1988,Oregon,OtherVarieties,Unknown,530,1840
1988,Oregon,Pahto,Proprietary,NA,NA
1988,Oregon,Palisade,Proprietary,NA,NA
1988,Oregon,Pekko,Proprietary,NA,NA
1988,Oregon,Perle,Public,330,1120
1988,Oregon,Saaz,Public,NA,NA
1988,Oregon,Sabro,Proprietary,NA,NA
1988,Oregon,Santiam,Public,NA,NA
1988,Oregon,Simcoe,Proprietary,NA,NA
1988,Oregon,SorachiAce,Public,NA,NA
1988,Oregon,Sterling,Public,NA,NA
1988,Oregon,Strata,Proprietary,NA,NA
1988,Oregon,Summit,Proprietary,NA,NA
1988,Oregon,SuperGalena,Proprietary,NA,NA
1988,Oregon,Tahoma,Public,NA,NA
1988,Oregon,Tettnanger,Public,470,1100
1988,Oregon,Tillicum,Proprietary,NA,NA
1988,Oregon,Triumph,Public,NA,NA
1988,Oregon,Vanguard,Public,NA,NA
1988,Oregon,Warrior,Proprietary,NA,NA
1988,Oregon,Willamette,Public,3700,1340
1988,Oregon,Zeus,Proprietary,NA,NA
1988,Washington,Ahtanum,Proprietary,NA,NA
1988,Washington,Amarillo,Proprietary,NA,NA
1988,Washington,Apollo,Proprietary,NA,NA
1988,Washington,Aquila,Public,320,1520
1988,Washington,Azacca,Proprietary,NA,NA
1988,Washington,Banner,Public,340,1650
1988,Washington,Bravo,Proprietary,NA,NA
1988,Washington,Calypso,Proprietary,NA,NA
1988,Washington,Cascade,Public,920,1990
1988,Washington,Cashmere,Public,NA,NA
1988,Washington,Centennial,Public,NA,NA
1988,Washington,Chelan,Proprietary,NA,NA
1988,Washington,Chinook,Public,1000,1990
1988,Washington,Citra,Proprietary,NA,NA
1988,Washington,Cluster,Public,7950,2030
1988,Washington,Columbus/Tomahawk,Proprietary,NA,NA
1988,Washington,Comet,Public,NA,NA
1988,Washington,Crystal,Public,NA,NA
1988,Washington,Ekuanot,Proprietary,NA,NA
1988,Washington,ElDorado,Proprietary,NA,NA
1988,Washington,Eroica,Public,640,1940
1988,Washington,Eureka,Proprietary,NA,NA
1988,Washington,Experimental,Unknown,NA,NA
1988,Washington,Fuggle,Public,NA,NA
1988,Washington,Galena,Public,4900,1890
1988,Washington,Glacier,Public,NA,NA
1988,Washington,Golding,Public,NA,NA
1988,Washington,Hallertauer,Public,NA,NA
1988,Washington,Horizon,Public,NA,NA
1988,Washington,Idaho7,Proprietary,NA,NA
1988,Washington,Jarrylo,Proprietary,NA,NA
1988,Washington,Liberty,Public,NA,NA
1988,Washington,Loral,Proprietary,NA,NA
1988,Washington,Magnum,Public,NA,NA
1988,Washington,Millenium,Proprietary,NA,NA
1988,Washington,Mosaic,Proprietary,NA,NA
1988,Washington,MountHood,Public,NA,NA
1988,Washington,MountRainier,Public,NA,NA
1988,Washington,NorthernBrewer,Public,NA,NA
1988,Washington,Nugget,Public,1800,1620
1988,Washington,Olympic,Public,270,2020
1988,Washington,OtherVarieties,Unknown,130,1350
1988,Washington,Pahto,Proprietary,NA,NA
1988,Washington,Palisade,Proprietary,NA,NA
1988,Washington,Pekko,Proprietary,NA,NA
1988,Washington,Perle,Public,580,1040
1988,Washington,Saaz,Public,NA,NA
1988,Washington,Sabro,Proprietary,NA,NA
1988,Washington,Santiam,Public,NA,NA
1988,Washington,Simcoe,Proprietary,NA,NA
1988,Washington,SorachiAce,Public,NA,NA
1988,Washington,Sterling,Public,NA,NA
1988,Washington,Strata,Proprietary,NA,NA
1988,Washington,Summit,Proprietary,NA,NA
